CIUDAD,LATITUD,LONGITUD
A Coruña,43.370304,'-8.395437
A Coruña,43.37032,'-8.390543
A Coruña,43.370327,'-8.390547
A Coruña,43.37035,'-8.394806
A Coruña,43.370354,'-8.394801
A Coruña,43.370354,'-8.394803
A Coruña,43.370354,'-8.395045
A Coruña,43.370365,'-8.394822
A Coruña,43.37037,'-8.394817
A Coruña,43.370373,'-8.395084
A Coruña,43.370377,'-8.394837
A Coruña,43.37038,'-8.39519
A Coruña,43.370384,'-8.395211
A Coruña,43.370407,'-8.390592
A Coruña,43.370407,'-8.394886
A Coruña,43.37042,'-8.3952055
A Coruña,43.370426,'-8.39491
A Coruña,43.370426,'-8.394925
A Coruña,43.37043,'-8.3949995
A Coruña,43.370434,'-8.390605
A Coruña,43.370434,'-8.394751
A Coruña,43.370434,'-8.395014
A Coruña,43.370438,'-8.395078
A Coruña,43.370438,'-8.395082
A Coruña,43.37044,'-8.395153
A Coruña,43.370445,'-8.39516
A Coruña,43.370445,'-8.395189
A Coruña,43.370445,'-8.395197
A Coruña,43.370445,'-8.395201
A Coruña,43.370445,'-8.395202
A Coruña,43.37047,'-8.394715
A Coruña,43.37052,'-8.39466
A Coruña,43.370533,'-8.390655
A Coruña,43.37055,'-8.394634
A Coruña,43.370552,'-8.394631
A Coruña,43.37057,'-8.394609
A Coruña,43.37057,'-8.394611
A Coruña,43.37059,'-8.394591
A Coruña,43.370613,'-8.390695
A Coruña,43.370617,'-8.394565
A Coruña,43.370686,'-8.390732
A Coruña,43.370705,'-8.394473
A Coruña,43.37076,'-8.39077
A Coruña,43.37076,'-8.394414
A Coruña,43.370766,'-8.394412
A Coruña,43.370773,'-8.394404
A Coruña,43.370808,'-8.394367
A Coruña,43.370815,'-8.3943615
A Coruña,43.370827,'-8.390803
A Coruña,43.37083,'-8.394358
A Coruña,43.370853,'-8.390818
A Coruña,43.37087,'-8.390824
A Coruña,43.370872,'-8.394302
A Coruña,43.370872,'-8.394336
A Coruña,43.370872,'-8.394339
A Coruña,43.370876,'-8.394345
A Coruña,43.370876,'-8.394349
A Coruña,43.370888,'-8.390836
A Coruña,43.37089,'-8.394282
A Coruña,43.370907,'-8.390847
A Coruña,43.370914,'-8.3942585
A Coruña,43.37092,'-8.390853
A Coruña,43.370937,'-8.390865
A Coruña,43.370937,'-8.394233
A Coruña,43.370945,'-8.390872
A Coruña,43.370956,'-8.390879
A Coruña,43.37096,'-8.394209
A Coruña,43.370964,'-8.390886
A Coruña,43.370975,'-8.390893
A Coruña,43.370975,'-8.394192
A Coruña,43.370983,'-8.394186
A Coruña,43.370995,'-8.390909
A Coruña,43.371006,'-8.394163
A Coruña,43.371014,'-8.390926
A Coruña,43.371033,'-8.390944
A Coruña,43.371044,'-8.390955
A Coruña,43.371056,'-8.390965
A Coruña,43.371075,'-8.390987
A Coruña,43.371082,'-8.390998
A Coruña,43.371094,'-8.391009
A Coruña,43.3711,'-8.394152
A Coruña,43.371113,'-8.391032
A Coruña,43.37112,'-8.391044
A Coruña,43.37114,'-8.3910675
A Coruña,43.37115,'-8.394146
A Coruña,43.37116,'-8.394145
A Coruña,43.371162,'-8.391098
A Coruña,43.37118,'-8.391127
A Coruña,43.371193,'-8.391146
A Coruña,43.3712,'-8.39414
A Coruña,43.371216,'-8.391174
A Coruña,43.371216,'-8.393915
A Coruña,43.37122,'-8.393916
A Coruña,43.37122,'-8.394163
A Coruña,43.371227,'-8.391196
A Coruña,43.371227,'-8.393919
A Coruña,43.371227,'-8.39392
A Coruña,43.37123,'-8.393921
A Coruña,43.371235,'-8.393921
A Coruña,43.37124,'-8.391216
A Coruña,43.371246,'-8.39392
A Coruña,43.371246,'-8.394136
A Coruña,43.37125,'-8.391229
A Coruña,43.37125,'-8.39392
A Coruña,43.371254,'-8.393919
A Coruña,43.371258,'-8.391242
A Coruña,43.371258,'-8.393918
A Coruña,43.371258,'-8.394017
A Coruña,43.37126,'-8.393916
A Coruña,43.371265,'-8.391255
A Coruña,43.371265,'-8.391259
A Coruña,43.371265,'-8.391268
A Coruña,43.371265,'-8.391312
A Coruña,43.37127,'-8.391274
A Coruña,43.37127,'-8.391281
A Coruña,43.37127,'-8.391288
A Coruña,43.37127,'-8.391292
A Coruña,43.37127,'-8.391305
A Coruña,43.37127,'-8.391318
A Coruña,43.37127,'-8.391321
A Coruña,43.37127,'-8.391328
A Coruña,43.37127,'-8.391331
A Coruña,43.37127,'-8.393912
A Coruña,43.37127,'-8.393913
A Coruña,43.371273,'-8.391336
A Coruña,43.371273,'-8.393909
A Coruña,43.371277,'-8.393907
A Coruña,43.37128,'-8.393904
A Coruña,43.3713,'-8.391407
A Coruña,43.371304,'-8.394089
A Coruña,43.371307,'-8.391431
A Coruña,43.37132,'-8.391465
A Coruña,43.37133,'-8.3915
A Coruña,43.37134,'-8.391536
A Coruña,43.371346,'-8.391556
